0,1,2,3,4,5,6
2021 National League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 National League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 National League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 National League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 National League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 National League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 National League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series
East,Team | Roster,W,L,T,WP,GB
East,Atlanta Braves,88,73,0,.547,--
East,Philadelphia Phillies,82,80,0,.506,6.5
East,New York Mets,77,85,0,.475,11.5
East,Miami Marlins,67,95,0,.414,21.5
East,Washington Nationals,65,97,0,.401,23.5
Central,Team | Roster,W,L,T,WP,GB
Central,Milwaukee Brewers,95,67,0,.586,--
Central,St. Louis Cardinals,90,72,0,.556,5.0
Central,Cincinnati Reds,83,79,0,.512,12.0
Central,Chicago Cubs,71,91,0,.438,24.0
Central,Pittsburgh Pirates,61,101,0,.377,34.0
West,Team | Roster,W,L,T,WP,GB
West,San Francisco Giants,107,55,0,.660,--
West,Los Angeles Dodgers,106,56,0,.654,1.0
West,San Diego Padres,79,83,0,.488,28.0
West,Colorado Rockies,74,87,0,.460,32.5
West,Arizona Diamondbacks,52,110,0,.321,55.0
N.L.,Team | Roster,w,L,T,WP,GB
2021 National League Standings,2021 National League Standings,2021 National League Standings,2021 National League Standings,2021 National League Standings,2021 National League Standings,2021 National League Standings
